"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Dundy County, NE"	"31057"	Suppressed	9298	Suppressed	Suppressed
	"Fillmore County, NE"	"31059"	Suppressed	28280	Suppressed	Suppressed
	"Franklin County, NE"	"31061"	Suppressed	15150	Suppressed	Suppressed
	"Frontier County, NE"	"31063"	Suppressed	13290	Suppressed	Suppressed
	"Furnas County, NE"	"31065"	Suppressed	24182	Suppressed	Suppressed
	"Gage County, NE"	"31067"	Suppressed	108827	Suppressed	Suppressed
	"Garden County, NE"	"31069"	Suppressed	9567	Suppressed	Suppressed
	"Garfield County, NE"	"31071"	Suppressed	10093	Suppressed	Suppressed
	"Gosper County, NE"	"31073"	Suppressed	9914	Suppressed	Suppressed
	"Grant County, NE"	"31075"	Suppressed	3183	Suppressed	Suppressed
	"Greeley County, NE"	"31077"	Suppressed	12178	Suppressed	Suppressed
	"Hall County, NE"	"31079"	Suppressed	307116	Suppressed	Suppressed
	"Hamilton County, NE"	"31081"	Suppressed	45830	Suppressed	Suppressed
	"Harlan County, NE"	"31083"	Suppressed	17373	Suppressed	Suppressed
	"Hayes County, NE"	"31085"	Suppressed	4631	Suppressed	Suppressed
	"Hitchcock County, NE"	"31087"	Suppressed	14315	Suppressed	Suppressed
	"Holt County, NE"	"31089"	Suppressed	51617	Suppressed	Suppressed
	"Hooker County, NE"	"31091"	Suppressed	3580	Suppressed	Suppressed
	"Howard County, NE"	"31093"	Suppressed	31992	Suppressed	Suppressed
	"Jefferson County, NE"	"31095"	Suppressed	36513	Suppressed	Suppressed
	"Johnson County, NE"	"31097"	Suppressed	25858	Suppressed	Suppressed
	"Kearney County, NE"	"31099"	Suppressed	32859	Suppressed	Suppressed
	"Keith County, NE"	"31101"	Suppressed	40404	Suppressed	Suppressed
	"Keya Paha County, NE"	"31103"	Suppressed	3988	Suppressed	Suppressed
	"Kimball County, NE"	"31105"	Suppressed	18402	Suppressed	Suppressed
	"Knox County, NE"	"31107"	Suppressed	42633	Suppressed	Suppressed
	"Lancaster County, NE"	"31109"	27	1529294	1.7655	0.0305%
	"Lincoln County, NE"	"31111"	Suppressed	178352	Suppressed	Suppressed
	"Logan County, NE"	"31113"	Suppressed	3830	Suppressed	Suppressed
	"Loup County, NE"	"31115"	Suppressed	2949	Suppressed	Suppressed
	"McPherson County, NE"	"31117"	Suppressed	2491	Suppressed	Suppressed
	"Madison County, NE"	"31119"	Suppressed	175650	Suppressed	Suppressed
	"Merrick County, NE"	"31121"	Suppressed	39065	Suppressed	Suppressed
	"Morrill County, NE"	"31123"	Suppressed	24247	Suppressed	Suppressed
	"Nance County, NE"	"31125"	Suppressed	17971	Suppressed	Suppressed
	"Nemaha County, NE"	"31127"	Suppressed	35298	Suppressed	Suppressed
	"Nuckolls County, NE"	"31129"	Suppressed	21651	Suppressed	Suppressed
	"Otoe County, NE"	"31131"	Suppressed	79641	Suppressed	Suppressed
	"Pawnee County, NE"	"31133"	Suppressed	13363	Suppressed	Suppressed
	"Perkins County, NE"	"31135"	Suppressed	14557	Suppressed	Suppressed
	"Phelps County, NE"	"31137"	Suppressed	46022	Suppressed	Suppressed
	"Pierce County, NE"	"31139"	Suppressed	35857	Suppressed	Suppressed
	"Platte County, NE"	"31141"	Suppressed	164054	Suppressed	Suppressed
	"Polk County, NE"	"31143"	Suppressed	26279	Suppressed	Suppressed
	"Red Willow County, NE"	"31145"	Suppressed	54152	Suppressed	Suppressed
	"Richardson County, NE"	"31147"	Suppressed	40376	Suppressed	Suppressed
	"Rock County, NE"	"31149"	Suppressed	7061	Suppressed	Suppressed
	"Saline County, NE"	"31151"	Suppressed	71722	Suppressed	Suppressed
	"Sarpy County, NE"	"31153"	15	877678	Unreliable	0.0169%
	"Saunders County, NE"	"31155"	Suppressed	104959	Suppressed	Suppressed
	"Scotts Bluff County, NE"	"31157"	Suppressed	182359	Suppressed	Suppressed
	"Seward County, NE"	"31159"	Suppressed	85794	Suppressed	Suppressed
	"Sheridan County, NE"	"31161"	Suppressed	26253	Suppressed	Suppressed
	"Sherman County, NE"	"31163"	Suppressed	15411	Suppressed	Suppressed
	"Sioux County, NE"	"31165"	Suppressed	6321	Suppressed	Suppressed
	"Stanton County, NE"	"31167"	Suppressed	30071	Suppressed	Suppressed
	"Thayer County, NE"	"31169"	Suppressed	25728	Suppressed	Suppressed
	"Thomas County, NE"	"31171"	Suppressed	3511	Suppressed	Suppressed
	"Thurston County, NE"	"31173"	Suppressed	35278	Suppressed	Suppressed
	"Valley County, NE"	"31175"	Suppressed	20944	Suppressed	Suppressed
	"Washington County, NE"	"31177"	Suppressed	102053	Suppressed	Suppressed
	"Wayne County, NE"	"31179"	Suppressed	46892	Suppressed	Suppressed
	"Webster County, NE"	"31181"	Suppressed	18098	Suppressed	Suppressed
	"Wheeler County, NE"	"31183"	Suppressed	3869	Suppressed	Suppressed
	"York County, NE"	"31185"	Suppressed	69206	Suppressed	Suppressed
	"Churchill County, NV"	"32001"	Suppressed	120680	Suppressed	Suppressed
	"Clark County, NV"	"32003"	772	10572093	7.3022	0.8708%
	"Douglas County, NV"	"32005"	Suppressed	238693	Suppressed	Suppressed
	"Elko County, NV"	"32007"	Suppressed	261902	Suppressed	Suppressed
	"Esmeralda County, NV"	"32009"	Suppressed	4123	Suppressed	Suppressed
	"Eureka County, NV"	"32011"	Suppressed	9988	Suppressed	Suppressed
	"Humboldt County, NV"	"32013"	Suppressed	85329	Suppressed	Suppressed
	"Lander County, NV"	"32015"	Suppressed	29339	Suppressed	Suppressed
	"Lincoln County, NV"	"32017"	Suppressed	25743	Suppressed	Suppressed
	"Lyon County, NV"	"32019"	19	263232	Unreliable	0.0214%
	"Mineral County, NV"	"32021"	Suppressed	22498	Suppressed	Suppressed
	"Nye County, NV"	"32023"	Suppressed	214681	Suppressed	Suppressed
	"Pershing County, NV"	"32027"	Suppressed	33277	Suppressed	Suppressed
	"Storey County, NV"	"32029"	Suppressed	19898	Suppressed	Suppressed
	"Washoe County, NV"	"32031"	109	2234915	4.8771	0.1229%
	"White Pine County, NV"	"32033"	Suppressed	49176	Suppressed	Suppressed
	"Carson City, NV"	"32510"	14	272610	Unreliable	0.0158%
	"Belknap County, NH"	"33001"	Suppressed	302689	Suppressed	Suppressed
	"Carroll County, NH"	"33003"	Suppressed	237536	Suppressed	Suppressed
	"Cheshire County, NH"	"33005"	Suppressed	380368	Suppressed	Suppressed
	"Coos County, NH"	"33007"	Suppressed	158535	Suppressed	Suppressed
	"Grafton County, NH"	"33009"	Suppressed	446881	Suppressed	Suppressed
	"Hillsborough County, NH"	"33011"	42	2033305	2.0656	0.0474%
	"Merrimack County, NH"	"33013"	Suppressed	739812	Suppressed	Suppressed
	"Rockingham County, NH"	"33015"	Suppressed	1511146	Suppressed	Suppressed
	"Strafford County, NH"	"33017"	13	633063	Unreliable	0.0147%
	"Sullivan County, NH"	"33019"	Suppressed	215135	Suppressed	Suppressed
	"Atlantic County, NJ"	"34001"	86	1366199	6.2948	0.0970%
	"Bergen County, NJ"	"34003"	65	4684963	1.3874	0.0733%
	"Burlington County, NJ"	"34005"	67	2248666	2.9795	0.0756%
	"Camden County, NJ"	"34007"	223	2555684	8.7256	0.2515%
	"Cape May County, NJ"	"34009"	Suppressed	473951	Suppressed	Suppressed
	"Cumberland County, NJ"	"34011"	64	776910	8.2378	0.0722%
	"Essex County, NJ"	"34013"	602	3987921	15.0956	0.6790%
	"Gloucester County, NJ"	"34015"	46	1457231	3.1567	0.0519%
	"Hudson County, NJ"	"34017"	144	3373859	4.2681	0.1624%
